Nome_Departamento,Nome_Secao,Nome_Grupo,Nome_SubGrupo,NomeLoja,NomeAssociado,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual Trigger,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd,A.V. Venda Anterior,A.V. Venda Atual
,,,,ARARUAMA 2,ALVORADA,434,,"-100,00 %",34,,"-100,00 %","32,07 %",,"-32,07","4,00",,"-100,00 %","108,37",,"-100,00 %","100,00 %",
,,,,ATERRADO - V.REDONDA,FLORESTA,648,,"-100,00 %",37,,"-100,00 %","37,09 %",,"-37,09","3,43",,"-100,00 %","188,96",,"-100,00 %","100,00 %",
,,,,BACAXA - SAQUAREMA,ALVORADA,234,,"-100,00 %",12,,"-100,00 %","27,54 %",,"-27,54","3,36",,"-100,00 %","69,60",,"-100,00 %","100,00 %",
,,,,BARRA DA TIJUCA,TORRE,4488,,"-100,00 %",199,,"-100,00 %","27,46 %",,"-27,46","30,04",,"-100,00 %","149,39",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - ABELARDO BUENO,BARRA OESTE,1116,,"-100,00 %",31,,"-100,00 %","-0,88 %",,"0,88","11,30",,"-100,00 %","98,76",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - AV. DAS AMERICAS,BARRA OESTE,6269,,"-100,00 %",130,,"-100,00 %","-0,42 %",,"0,42","27,83",,"-100,00 %","225,28",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - CASCADURA,BARRA OESTE,1477,,"-100,00 %",68,,"-100,00 %","0,00 %",,"0,00","15,88",,"-100,00 %","93,04",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - RECREIO I,BARRA OESTE,1123,,"-100,00 %",37,,"-100,00 %","-0,26 %",,"0,26","6,86",,"-100,00 %","163,69",,"-100,00 %","100,00 %",
,,,,BARRA OESTE - VIA PARQUE,BARRA OESTE,3021,,"-100,00 %",70,,"-100,00 %","-0,49 %",,"0,49","27,39",,"-100,00 %","110,30",,"-100,00 %","100,00 %",
,,,,BOTAFOGO,ALVORADA,284,,"-100,00 %",17,,"-100,00 %","33,14 %",,"-33,14","5,71",,"-100,00 %","49,80",,"-100,00 %","100,00 %",
,,,,BUZIOS,ALVORADA,797,,"-100,00 %",47,,"-100,00 %","28,22 %",,"-28,22","8,10",,"-100,00 %","98,49",,"-100,00 %","100,00 %",
,,,,CABO FRIO 1 - SHOP P LAGOS ,ALVORADA,119,,"-100,00 %",6,,"-100,00 %","31,01 %",,"-31,01","1,58",,"-100,00 %","75,37",,"-100,00 %","100,00 %",
,,,,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,530,,"-100,00 %",26,,"-100,00 %","36,66 %",,"-36,66","8,47",,"-100,00 %","62,65",,"-100,00 %","100,00 %",
,,,,CAMPO GRANDE,TORRE,1097,,"-100,00 %",57,,"-100,00 %","29,26 %",,"-29,26","15,95",,"-100,00 %","68,76",,"-100,00 %","100,00 %",
,,,,CENTRO - B.MANSA,FLORESTA,665,,"-100,00 %",49,,"-100,00 %","34,62 %",,"-34,62","10,84",,"-100,00 %","61,39",,"-100,00 %","100,00 %",
,,,,COPACABANA,ALVORADA,162,,"-100,00 %",17,,"-100,00 %","29,82 %",,"-29,82","1,88",,"-100,00 %","86,13",,"-100,00 %","100,00 %",
,,,,DUQUE DE CAXIAS,TORRE,1874,,"-100,00 %",97,,"-100,00 %","28,36 %",,"-28,36","17,30",,"-100,00 %","108,37",,"-100,00 %","100,00 %",
,,,,FENIX - MERCADO MULTI PENHA,FENIX,1855,,"-100,00 %",498,,"-100,00 %","100,00 %",,"-100,00","79,89",,"-100,00 %","23,22",,"-100,00 %","100,00 %",
,,,,FREGUESIA,TORRE,1220,,"-100,00 %",64,,"-100,00 %","27,64 %",,"-27,64","22,79",,"-100,00 %","53,53",,"-100,00 %","100,00 %",
,,,,GA - PIABETA (INHOMIRIM),RAMIGOS,1179,,"-100,00 %",103,,"-100,00 %","28,71 %",,"-28,71","13,40",,"-100,00 %","88,00",,"-100,00 %","100,00 %",
,,,,IGUABA GRANDE,ALVORADA,488,,"-100,00 %",29,,"-100,00 %","26,63 %",,"-26,63","11,05",,"-100,00 %","44,18",,"-100,00 %","100,00 %",
,,,,INOA,ALVORADA,444,,"-100,00 %",19,,"-100,00 %","29,48 %",,"-29,48","5,41",,"-100,00 %","82,07",,"-100,00 %","100,00 %",
,,,,MACAE 2 - GLÓRIA,ALVORADA,535,,"-100,00 %",33,,"-100,00 %","33,81 %",,"-33,81","4,48",,"-100,00 %","119,35",,"-100,00 %","100,00 %",
,,,,MARACANA,TORRE,841,,"-100,00 %",66,,"-100,00 %","27,89 %",,"-27,89","12,43",,"-100,00 %","67,63",,"-100,00 %","100,00 %",
,,,,MARIA DA GRACA,TORRE,876,,"-100,00 %",42,,"-100,00 %","27,15 %",,"-27,15","10,06",,"-100,00 %","87,03",,"-100,00 %","100,00 %",
,,,,NOVA IGUACU,TORRE,3405,,"-100,00 %",161,,"-100,00 %","28,16 %",,"-28,16","31,62",,"-100,00 %","107,69",,"-100,00 %","100,00 %",
,,,,PARK SHOPPING,TORRE,1679,,"-100,00 %",88,,"-100,00 %","29,00 %",,"-29,00","15,39",,"-100,00 %","109,11",,"-100,00 %","100,00 %",
,,,,RETIRO - V.REDONDA,FLORESTA,210,,"-100,00 %",19,,"-100,00 %","48,29 %",,"-48,29","5,04",,"-100,00 %","41,72",,"-100,00 %","100,00 %",
,,,,ROLAMAO - PINHEIRAL,FLORESTA,126,,"-100,00 %",7,,"-100,00 %","38,65 %",,"-38,65","3,73",,"-100,00 %","33,77",,"-100,00 %","100,00 %",
,,,,S CECILIA - V.REDONDA,FLORESTA,409,,"-100,00 %",22,,"-100,00 %","27,35 %",,"-27,35","4,47",,"-100,00 %","91,35",,"-100,00 %","100,00 %",
,,,,SAO CONRADO 2,TORRE,1511,,"-100,00 %",53,,"-100,00 %","28,06 %",,"-28,06","11,02",,"-100,00 %","137,08",,"-100,00 %","100,00 %",
,,,,SAVIO GAMA - V.REDOND,FLORESTA,366,,"-100,00 %",19,,"-100,00 %","50,14 %",,"-50,14","5,50",,"-100,00 %","66,49",,"-100,00 %","100,00 %",
,,,,TAMOIOS UNAMAR,ALVORADA,603,,"-100,00 %",31,,"-100,00 %","32,32 %",,"-32,32","9,28",,"-100,00 %","64,99",,"-100,00 %","100,00 %",
,,,,TAQUARA,TORRE,1857,,"-100,00 %",88,,"-100,00 %","30,23 %",,"-30,23","24,16",,"-100,00 %","76,86",,"-100,00 %","100,00 %",
,,,,TIJUCA,TORRE,2094,,"-100,00 %",93,,"-100,00 %","28,95 %",,"-28,95","15,44",,"-100,00 %","135,64",,"-100,00 %","100,00 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ALVORADA - MANGUEIRIN R.BONITO,ALVORADA,26,13,"-50,00 %",2,1,"-50,00 %","26,31 %","25,91 %","-0,40","0,13","0,17","33,33 %","206,24","77,34","-62,50 %","0,17 %","0,09 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ANCHIETA,RAMIGOS,16,29,"80,61 %",1,2,"100,00 %","26,00 %","25,96 %","-0,04","0,17","0,10","-41,07 %","95,94","294,07","206,51 %","0,05 %","0,10 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ATERRADO - V.REDONDA,FLORESTA,14,,"-100,00 %",2,,"-100,00 %","38,52 %",,"-38,52","0,04",,"-100,00 %","321,08",,"-100,00 %","0,03 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BANGU,RAMIGOS,32,,"-100,00 %",2,,"-100,00 %","26,00 %",,"-26,00","0,23",,"-100,00 %","139,55",,"-100,00 %","0,18 %",
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BOTAFOGO,ALVORADA,39,74,"90,25 %",3,5,"66,67 %","27,91 %","35,10 %","7,18","0,40","0,40","-0,85 %","95,86","183,92","91,87 %","0,15 %","0,27 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BUZIOS,ALVORADA,,13,,,1,,,"25,91 %","25,91",,"0,05",,,"283,58",,,"0,08 %"
