NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
ALVORADA,AGUA MINERAL,1038352,681864,"-34,33 %",160512,99753,"-37,85 %","21,14 %","23,28 %","2,14","12767,49","8903,68","-30,26 %","81,33","76,58","-5,84 %"
ALVORADA,ALVORADA - MANGUEIRIN R.BONITO,928723,843964,"-9,13 %",149896,130119,"-13,19 %","19,86 %","22,88 %","3,02","10439,51","9517,47","-8,83 %","88,96","88,68","-0,32 %"
ALVORADA,ARARUAMA 1,1605633,1338838,"-16,62 %",243265,192581,"-20,83 %","20,05 %","22,41 %","2,36","15805,83","13069,46","-17,31 %","101,58","102,44","0,84 %"
ALVORADA,ARARUAMA 2,960518,829273,"-13,66 %",139452,115905,"-16,89 %","21,99 %","24,22 %","2,23","10434,95","10029,48","-3,89 %","92,05","82,68","-10,17 %"
ALVORADA,ARSENAL,954842,849564,"-11,03 %",142451,120713,"-15,26 %","23,30 %","24,98 %","1,68","11789,92","10227,00","-13,26 %","80,99","83,07","2,57 %"
ALVORADA,BACAXA - SAQUAREMA,1373740,1228517,"-10,57 %",194649,168700,"-13,33 %","21,41 %","23,52 %","2,12","12130,99","11304,25","-6,82 %","113,24","108,68","-4,03 %"
ALVORADA,BOTAFOGO,1218930,1064382,"-12,68 %",169759,143805,"-15,29 %","24,44 %","26,17 %","1,73","18849,72","16933,32","-10,17 %","64,67","62,86","-2,80 %"
ALVORADA,BUZIOS,1110227,917699,"-17,34 %",140887,110123,"-21,84 %","22,91 %","24,63 %","1,72","10892,91","9243,42","-15,14 %","101,92","99,28","-2,59 %"
ALVORADA,CABO FRIO 1 - SHOP P LAGOS ,812813,717432,"-11,73 %",104614,87679,"-16,19 %","21,03 %","23,95 %","2,91","8957,83","8616,90","-3,81 %","90,74","83,26","-8,24 %"
ALVORADA,CABO FRIO 2 - S.CRISTOVAO,1999650,1681179,"-15,93 %",258419,212554,"-17,75 %","19,07 %","21,16 %","2,10","16019,67","14790,77","-7,67 %","124,82","113,66","-8,94 %"
ALVORADA,CABO FRIO 3 - JD ESPERANCA,1588643,1485576,"-6,49 %",222538,207454,"-6,78 %","17,76 %","21,21 %","3,45","16873,94","17599,47","4,30 %","94,15","84,41","-10,34 %"
ALVORADA,CASIMIRO DE ABREU,1009666,789068,"-21,85 %",128918,92284,"-28,42 %","19,56 %","22,64 %","3,08","10163,14","7929,03","-21,98 %","99,35","99,52","0,17 %"
ALVORADA,CD MATRIZ,91350,625,"-99,32 %",15750,14,"-99,91 %","-1,18 %","7,45 %","8,63","1,00","1,00","0,00 %","91350,00","624,60","-99,32 %"
ALVORADA,COLUBANDE,2327588,2256323,"-3,06 %",283534,234141,"-17,42 %","7,07 %","6,93 %","-0,14","12231,32","11019,83","-9,90 %","190,30","204,75","7,60 %"
ALVORADA,COPACABANA,1837437,1643383,"-10,56 %",256174,215074,"-16,04 %","23,01 %","24,68 %","1,66","23618,21","21367,44","-9,53 %","77,80","76,91","-1,14 %"
ALVORADA,IGUABA GRANDE,1832650,1692380,"-7,65 %",243824,214152,"-12,17 %","22,21 %","23,58 %","1,37","16709,10","14696,00","-12,05 %","109,68","115,16","5,00 %"
ALVORADA,INOA,2049485,1852496,"-9,61 %",267068,230926,"-13,53 %","23,53 %","24,76 %","1,23","21640,25","19155,63","-11,48 %","94,71","96,71","2,11 %"
ALVORADA,ITABORAI - CENTRO ,1050578,975877,"-7,11 %",160715,136525,"-15,05 %","19,80 %","21,66 %","1,87","11531,72","10992,91","-4,67 %","91,10","88,77","-2,56 %"
ALVORADA,ITABORAI 1,1552000,1509803,"-2,72 %",244204,236298,"-3,24 %","19,87 %","20,15 %","0,29","20962,95","19051,00","-9,12 %","74,04","79,25","7,04 %"
ALVORADA,JARDIM CATARINA,644567,595174,"-7,66 %",107443,95396,"-11,21 %","20,26 %","21,08 %","0,82","10069,19","8903,94","-11,57 %","64,01","66,84","4,42 %"
ALVORADA,JD ESPERANCA - ATACADO,4204085,2144119,"-49,00 %",755064,423674,"-43,89 %","-4,02 %","-13,46 %","-9,44","51,00","26,00","-49,02 %","82433,04","82466,12","0,04 %"
ALVORADA,MACAE,1706097,1530515,"-10,29 %",216551,184140,"-14,97 %","18,39 %","23,09 %","4,70","17458,85","17549,39","0,52 %","97,72","87,21","-10,75 %"
ALVORADA,MACAE 2 - GLÓRIA,1386101,994194,"-28,27 %",158853,111534,"-29,79 %","23,23 %","24,92 %","1,69","8571,93","7364,04","-14,09 %","161,70","135,01","-16,51 %"
ALVORADA,MAGE 1,663932,523782,"-21,11 %",113642,86335,"-24,03 %","17,92 %","19,50 %","1,58","10175,89","8767,00","-13,85 %","65,25","59,74","-8,43 %"
ALVORADA,MAGE 2,1516607,1337486,"-11,81 %",238707,201763,"-15,48 %","19,04 %","20,92 %","1,88","14626,96","13253,95","-9,39 %","103,69","100,91","-2,67 %"
ALVORADA,MARACANA,932908,905603,"-2,93 %",136828,124657,"-8,90 %","22,67 %","24,35 %","1,67","12267,97","11339,92","-7,56 %","76,04","79,86","5,02 %"
ALVORADA,MARICÁ,753157,600779,"-20,23 %",95534,70024,"-26,70 %","21,76 %","24,26 %","2,50","7976,69","6992,00","-12,34 %","94,42","85,92","-9,00 %"
ALVORADA,MARICA - CORDEIRINHO,1053635,1056851,"0,31 %",131163,122564,"-6,56 %","23,13 %","24,96 %","1,83","9149,42","9598,94","4,91 %","115,16","110,10","-4,39 %"
ALVORADA,NOVA CIDADE,932762,767195,"-17,75 %",150966,120093,"-20,45 %","20,03 %","21,94 %","1,91","14708,36","12071,78","-17,93 %","63,42","63,55","0,21 %"
ALVORADA,RIO BONITO 2,1056734,985379,"-6,75 %",171359,153379,"-10,49 %","19,56 %","21,09 %","1,52","13512,83","12204,29","-9,68 %","78,20","80,74","3,25 %"
ALVORADA,RIO DO OURO,783035,673916,"-13,94 %",126549,103626,"-18,11 %","20,84 %","22,86 %","2,02","11928,60","10463,94","-12,28 %","65,64","64,40","-1,89 %"
ALVORADA,SAO PEDRO DA ALDEIA,1377568,1146037,"-16,81 %",186771,154092,"-17,50 %","16,71 %","19,57 %","2,86","15280,25","14065,92","-7,95 %","90,15","81,48","-9,63 %"
ALVORADA,TAMOIOS UNAMAR,2005654,1728977,"-13,79 %",260323,209117,"-19,67 %","21,47 %","23,34 %","1,87","13137,39","12167,53","-7,38 %","152,67","142,10","-6,92 %"
ALVORADA,TANGUA,1003600,810632,"-19,23 %",168434,109625,"-34,92 %","19,07 %","20,82 %","1,75","13046,15","11337,72","-13,10 %","76,93","71,50","-7,06 %"
ALVORADA,TRINDADE,786026,668695,"-14,93 %",126254,107187,"-15,10 %","19,50 %","21,40 %","1,91","11770,00","10367,00","-11,92 %","66,78","64,50","-3,41 %"
BARRA OESTE,BARRA OESTE - ABELARDO BUENO,1834562,1751191,"-4,54 %",224328,205568,"-8,36 %","25,77 %","27,51 %","1,74","16918,95","16161,90","-4,47 %","108,43","108,35","-0,07 %"
BARRA OESTE,BARRA OESTE - AV. DAS AMERICAS,2350147,2402362,"2,22 %",236349,236813,"0,20 %","30,52 %","30,63 %","0,10","17178,47","16949,02","-1,34 %","136,81","141,74","3,61 %"
BARRA OESTE,BARRA OESTE - CAMPO GRANDE,1322761,1262028,"-4,59 %",199373,184515,"-7,45 %","21,01 %","23,63 %","2,62","15935,01","15568,39","-2,30 %","83,01","81,06","-2,34 %"
BARRA OESTE,BARRA OESTE - CASCADURA,1268362,1296174,"2,19 %",189716,182342,"-3,89 %","22,61 %","25,58 %","2,97","17589,33","18848,65","7,16 %","72,11","68,77","-4,63 %"
BARRA OESTE,BARRA OESTE - GARDENIA AZUL,1364333,1181994,"-13,36 %",208077,171104,"-17,77 %","21,74 %","25,26 %","3,51","24229,00","21115,51","-12,85 %","56,31","55,98","-0,59 %"
BARRA OESTE,BARRA OESTE - GUARATIBA,1274507,1325358,"3,99 %",196206,195940,"-0,14 %","20,41 %","22,83 %","2,41","16025,42","15814,16","-1,32 %","79,53","83,81","5,38 %"
BARRA OESTE,BARRA OESTE - PEDRA GUARATIBA,2152935,2070415,"-3,83 %",317293,291904,"-8,00 %","21,57 %","24,20 %","2,62","20703,57","20072,53","-3,05 %","103,99","103,15","-0,81 %"
BARRA OESTE,BARRA OESTE - RECREIO I,1903619,1818064,"-4,49 %",232249,208189,"-10,36 %","25,63 %","27,61 %","1,98","17559,02","17080,71","-2,72 %","108,41","106,44","-1,82 %"
BARRA OESTE,BARRA OESTE - RECREIO II,1065208,1041371,"-2,24 %",166996,156355,"-6,37 %","22,46 %","24,85 %","2,38","18424,69","17390,41","-5,61 %","57,81","59,88","3,58 %"
BARRA OESTE,BARRA OESTE - RIACHUELO,1431586,1337558,"-6,57 %",202075,189929,"-6,01 %","20,14 %","24,34 %","4,19","23688,42","22927,64","-3,21 %","60,43","58,34","-3,47 %"
BARRA OESTE,BARRA OESTE - TANQUE,1931081,1745490,"-9,61 %",289024,230448,"-20,27 %","21,65 %","27,23 %","5,58","25855,29","24264,28","-6,15 %","74,69","71,94","-3,68 %"
BARRA OESTE,BARRA OESTE - VIA PARQUE,1123735,1107362,"-1,46 %",121934,110679,"-9,23 %","31,04 %","34,55 %","3,51","13554,39","13330,26","-1,65 %","82,91","83,07","0,20 %"
FENIX,FENIX - MERCADO MULTI PENHA,740708,943168,"27,33 %",141172,182234,"29,09 %","23,03 %","25,82 %","2,79","14535,09","16357,97","12,54 %","50,96","57,66","13,14 %"
FENIX,FENIX - NOVA BRASILIA,756683,796085,"5,21 %",140180,140622,"0,32 %","19,91 %","25,56 %","5,65","19330,50","18877,00","-2,35 %","39,14","42,17","7,73 %"
