Nome_Departamento,Nome_Secao,Nome_Grupo,Nome_SubGrupo,NomeLoja,NomeAssociado,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual Trigger,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd,A.V. Venda Anterior,A.V. Venda Atual
,,,,ARARUAMA 2,ALVORADA,,306,,,29,,,"32,35 %","32,35",,"3,91",,,"78,23",,,"100,00 %"
,,,,ATERRADO - V.REDONDA,FLORESTA,,677,,,39,,,"36,12 %","36,12",,"3,60",,,"188,05",,,"100,00 %"
,,,,BACAXA - SAQUAREMA,ALVORADA,,202,,,8,,,"27,64 %","27,64",,"3,27",,,"61,93",,,"100,00 %"
,,,,BARRA DA TIJUCA,TORRE,,4610,,,188,,,"27,65 %","27,65",,"30,41",,,"151,57",,,"100,00 %"
,,,,BARRA OESTE - ABELARDO BUENO,BARRA OESTE,,1058,,,31,,,"-0,73 %","-0,73",,"10,94",,,"96,66",,,"100,00 %"
,,,,BARRA OESTE - AV. DAS AMERICAS,BARRA OESTE,,6415,,,143,,,"-0,46 %","-0,46",,"29,84",,,"214,99",,,"100,00 %"
,,,,BARRA OESTE - RECREIO I,BARRA OESTE,,1163,,,40,,,"-0,25 %","-0,25",,"6,30",,,"184,57",,,"100,00 %"
,,,,BOTAFOGO,ALVORADA,,256,,,16,,,"33,47 %","33,47",,"5,21",,,"49,10",,,"100,00 %"
,,,,BUZIOS,ALVORADA,,831,,,43,,,"27,48 %","27,48",,"7,67",,,"108,32",,,"100,00 %"
,,,,CABO FRIO 1 - SHOP P LAGOS ,ALVORADA,,96,,,3,,,"32,61 %","32,61",,"1,20",,,"80,51",,,"100,00 %"
,,,,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,,595,,,27,,,"31,37 %","31,37",,"8,48",,,"70,18",,,"100,00 %"
,,,,CAMPO GRANDE,TORRE,,1143,,,58,,,"29,87 %","29,87",,"17,62",,,"64,86",,,"100,00 %"
,,,,CENTRO - B.MANSA,FLORESTA,,903,,,75,,,"28,02 %","28,02",,"17,53",,,"51,54",,,"100,00 %"
,,,,COPACABANA,ALVORADA,,162,,,17,,,"29,82 %","29,82",,"1,88",,,"86,13",,,"100,00 %"
,,,,DUQUE DE CAXIAS,TORRE,,2158,,,106,,,"28,37 %","28,37",,"19,18",,,"112,52",,,"100,00 %"
,,,,FENIX - MERCADO MULTI PENHA,FENIX,,1822,,,476,,,"100,00 %","100,00",,"77,91",,,"23,39",,,"100,00 %"
,,,,FREGUESIA,TORRE,,1198,,,69,,,"28,05 %","28,05",,"24,25",,,"49,38",,,"100,00 %"
,,,,GA - PIABETA (INHOMIRIM),RAMIGOS,,1250,,,110,,,"28,86 %","28,86",,"15,03",,,"83,18",,,"100,00 %"
,,,,IGUABA GRANDE,ALVORADA,,458,,,28,,,"26,03 %","26,03",,"10,05",,,"45,61",,,"100,00 %"
,,,,INOA,ALVORADA,,427,,,18,,,"29,69 %","29,69",,"5,46",,,"78,15",,,"100,00 %"
,,,,MARACANA,TORRE,,816,,,68,,,"28,18 %","28,18",,"12,24",,,"66,64",,,"100,00 %"
,,,,MARIA DA GRACA,TORRE,,1000,,,46,,,"27,39 %","27,39",,"10,36",,,"96,56",,,"100,00 %"
,,,,NOVA IGUACU,TORRE,,3235,,,158,,,"28,60 %","28,60",,"30,25",,,"106,93",,,"100,00 %"
,,,,PARK SHOPPING,TORRE,,1631,,,87,,,"29,81 %","29,81",,"16,64",,,"97,99",,,"100,00 %"
,,,,RETIRO - V.REDONDA,FLORESTA,,169,,,21,,,"40,09 %","40,09",,"6,27",,,"26,87",,,"100,00 %"
,,,,ROLAMAO - PINHEIRAL,FLORESTA,,126,,,7,,,"38,65 %","38,65",,"3,73",,,"33,77",,,"100,00 %"
,,,,S CECILIA - V.REDONDA,FLORESTA,,470,,,34,,,"24,98 %","24,98",,"5,76",,,"81,61",,,"100,00 %"
,,,,SAO CONRADO 2,TORRE,,1251,,,47,,,"27,67 %","27,67",,"9,16",,,"136,62",,,"100,00 %"
,,,,SAVIO GAMA - V.REDOND,FLORESTA,,388,,,20,,,"47,28 %","47,28",,"5,36",,,"72,35",,,"100,00 %"
,,,,TAQUARA,TORRE,,2028,,,95,,,"30,03 %","30,03",,"26,73",,,"75,87",,,"100,00 %"
,,,,TIJUCA,TORRE,,2126,,,95,,,"29,22 %","29,22",,"13,05",,,"162,92",,,"100,00 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ALVORADA - MANGUEIRIN R.BONITO,ALVORADA,,26,,,2,,,"26,31 %","26,31",,"0,13",,,"206,24",,,"0,18 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,ANCHIETA,RAMIGOS,,32,,,2,,,"26,00 %","26,00",,"0,24",,,"131,29",,,"0,10 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BANGU,RAMIGOS,,16,,,1,,,"26,00 %","26,00",,"0,17",,,"95,94",,,"0,09 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,BOTAFOGO,ALVORADA,,39,,,3,,,"27,91 %","27,91",,"0,40",,,"95,86",,,"0,15 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,CABO FRIO 2 - S.CRISTOVAO,ALVORADA,,26,,,2,,,"32,67 %","32,67",,"0,20",,,"127,67",,,"0,10 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,CENTRO - B.MANSA,FLORESTA,,7,,,1,,,"38,07 %","38,07",,"0,20",,,"34,90",,,"0,02 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,COPACABANA,ALVORADA,,13,,,1,,,"32,35 %","32,35",,"0,10",,,"128,90",,,"0,03 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,DUQUE DE CAXIAS,GMAP,,10,,,1,,,"-18,45 %","-18,45",,"0,06",,,"159,84",,,"0,04 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,GA - FRAGOSO,RAMIGOS,,29,,,2,,,"18,33 %","18,33",,"0,20",,,"144,90",,,"0,28 %"
MERCEARIA,BEBIDAS ALCOOLICAS,CERVEJA,BOCK,MARIA DA GRACA,TORRE,,28,,,2,,,"31,74 %","31,74",,"0,10",,,"268,61",,,"0,03 %"
