NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
ALVORADA,AGUA MINERAL,,997166,,,152255,,,"21,67 %","21,67",,"12484,47",,,"79,87",
ALVORADA,ALVORADA - MANGUEIRIN R.BONITO,,861185,,,135987,,,"21,41 %","21,41",,"10061,83",,,"85,59",
ALVORADA,ARARUAMA 1,,1508883,,,228260,,,"21,06 %","21,06",,"15485,83",,,"97,44",
ALVORADA,ARARUAMA 2,,903018,,,130949,,,"23,06 %","23,06",,"10337,95",,,"87,35",
ALVORADA,ARSENAL,,918972,,,137096,,,"23,83 %","23,83",,"11689,92",,,"78,61",
ALVORADA,BACAXA - SAQUAREMA,,1317310,,,184638,,,"22,19 %","22,19",,"11905,99",,,"110,64",
ALVORADA,BOTAFOGO,,1178734,,,163708,,,"25,17 %","25,17",,"18789,35",,,"62,73",
ALVORADA,BUZIOS,,1075261,,,135400,,,"23,67 %","23,67",,"10727,72",,,"100,23",
ALVORADA,CABO FRIO 1 - SHOP P LAGOS ,,778814,,,99896,,,"22,12 %","22,12",,"8888,87",,,"87,62",
ALVORADA,CABO FRIO 2 - S.CRISTOVAO,,1887377,,,241173,,,"20,03 %","20,03",,"15742,67",,,"119,89",
ALVORADA,CABO FRIO 3 - JD ESPERANCA,,1494647,,,208217,,,"18,77 %","18,77",,"16627,00",,,"89,89",
ALVORADA,CASIMIRO DE ABREU,,932613,,,117799,,,"20,92 %","20,92",,"9818,05",,,"94,99",
ALVORADA,CD MATRIZ,,91350,,,15750,,,"-1,18 %","-1,18",,"1,00",,,"91350,00",
ALVORADA,COLUBANDE,,2341340,,,282422,,,"7,06 %","7,06",,"12039,32",,,"194,47",
ALVORADA,COPACABANA,,1760999,,,245668,,,"23,95 %","23,95",,"23352,96",,,"75,41",
ALVORADA,IGUABA GRANDE,,1722888,,,227270,,,"23,13 %","23,13",,"16259,06",,,"105,96",
ALVORADA,INOA,,1959739,,,255279,,,"23,99 %","23,99",,"21417,48",,,"91,50",
ALVORADA,ITABORAI - CENTRO ,,993635,,,151204,,,"20,73 %","20,73",,"11439,63",,,"86,86",
ALVORADA,ITABORAI 1,,1491822,,,234253,,,"20,54 %","20,54",,"20730,95",,,"71,96",
ALVORADA,JARDIM CATARINA,,614042,,,101511,,,"20,99 %","20,99",,"9820,41",,,"62,53",
ALVORADA,JD ESPERANCA - ATACADO,,4149917,,,769224,,,"-4,34 %","-4,34",,"54,00",,,"76850,32",
ALVORADA,MACAE,,1625684,,,204982,,,"19,25 %","19,25",,"17337,75",,,"93,77",
ALVORADA,MAGE 1,,625450,,,106825,,,"18,67 %","18,67",,"9955,89",,,"62,82",
ALVORADA,MAGE 2,,1441934,,,225163,,,"19,80 %","19,80",,"14216,96",,,"101,42",
ALVORADA,MARACANA,,1485173,,,228516,,,"-0,09 %","-0,09",,"12177,00",,,"121,97",
ALVORADA,MARICÁ,,707457,,,89418,,,"22,51 %","22,51",,"7759,70",,,"91,17",
ALVORADA,MARICA - CORDEIRINHO,,1006034,,,124429,,,"23,82 %","23,82",,"9077,35",,,"110,83",
ALVORADA,NOVA CIDADE,,871649,,,140413,,,"21,00 %","21,00",,"14431,54",,,"60,40",
ALVORADA,RIO BONITO 2,,984350,,,158967,,,"20,62 %","20,62",,"13068,45",,,"75,32",
ALVORADA,RIO DO OURO,,742100,,,119074,,,"21,66 %","21,66",,"11628,66",,,"63,82",
ALVORADA,SAO PEDRO DA ALDEIA,,1292182,,,175017,,,"17,60 %","17,60",,"15217,30",,,"84,92",
ALVORADA,TANGUA,,926977,,,153713,,,"20,31 %","20,31",,"12766,72",,,"72,61",
ALVORADA,TRINDADE,,741843,,,119029,,,"20,40 %","20,40",,"11609,00",,,"63,90",
BARRA OESTE,BARRA OESTE - ABELARDO BUENO,,1810106,,,222496,,,"25,96 %","25,96",,"16916,22",,,"107,00",
BARRA OESTE,BARRA OESTE - AV. DAS AMERICAS,,2332204,,,234788,,,"30,65 %","30,65",,"16984,67",,,"137,31",
BARRA OESTE,BARRA OESTE - CAMPO GRANDE,,1237673,,,186766,,,"21,96 %","21,96",,"15680,22",,,"78,93",
BARRA OESTE,BARRA OESTE - GARDENIA AZUL,,1325681,,,201106,,,"22,18 %","22,18",,"24127,00",,,"54,95",
BARRA OESTE,BARRA OESTE - GUARATIBA,,1199907,,,186340,,,"21,21 %","21,21",,"15828,72",,,"75,81",
BARRA OESTE,BARRA OESTE - PEDRA GUARATIBA,,2038230,,,301182,,,"22,37 %","22,37",,"20430,67",,,"99,76",
