NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
ALVORADA,AGUA MINERAL,789961,603939,"-23,55 %",105536,79891,"-24,30 %","28,39 %","28,43 %","0,05","9647,27","7491,70","-22,34 %","81,88","80,61","-1,55 %"
ALVORADA,ALVORADA - MANGUEIRIN R.BONITO,591793,608117,"2,76 %",82030,84128,"2,56 %","28,92 %","29,23 %","0,31","7539,71","7336,92","-2,69 %","78,49","82,88","5,60 %"
ALVORADA,ARARUAMA 1,926857,891135,"-3,85 %",121642,112791,"-7,28 %","29,36 %","29,70 %","0,34","10047,30","9084,25","-9,59 %","92,25","98,10","6,34 %"
ALVORADA,ARARUAMA 2,598672,590609,"-1,35 %",76245,74624,"-2,13 %","30,57 %","31,00 %","0,43","7408,96","7348,32","-0,82 %","80,80","80,37","-0,53 %"
ALVORADA,ARSENAL,762401,765916,"0,46 %",97002,96834,"-0,17 %","29,89 %","30,60 %","0,71","9129,88","8656,83","-5,18 %","83,51","88,48","5,95 %"
ALVORADA,BACAXA - SAQUAREMA,1128194,965982,"-14,38 %",139949,119461,"-14,64 %","29,28 %","30,04 %","0,76","9290,58","8242,00","-11,29 %","121,43","117,20","-3,48 %"
ALVORADA,BOTAFOGO,833032,804502,"-3,42 %",105538,103058,"-2,35 %","31,21 %","30,98 %","-0,23","14531,39","13761,96","-5,29 %","57,33","58,46","1,97 %"
ALVORADA,BUZIOS,776070,671846,"-13,43 %",85491,71799,"-16,02 %","29,86 %","30,62 %","0,76","8134,41","7184,99","-11,67 %","95,41","93,51","-1,99 %"
ALVORADA,CABO FRIO 1 - SHOP P LAGOS ,513847,523105,"1,80 %",56832,58642,"3,19 %","30,48 %","30,78 %","0,30","7013,88","7331,98","4,54 %","73,26","71,35","-2,61 %"
ALVORADA,CABO FRIO 2 - S.CRISTOVAO,1211718,1094140,"-9,70 %",133725,122523,"-8,38 %","29,21 %","29,19 %","-0,02","10942,71","10147,25","-7,27 %","110,73","107,83","-2,62 %"
ALVORADA,CABO FRIO 3 - JD ESPERANCA,1088773,1159988,"6,54 %",130768,141849,"8,47 %","27,39 %","27,73 %","0,33","12829,00","13780,00","7,41 %","84,87","84,18","-0,81 %"
ALVORADA,CASIMIRO DE ABREU,779192,650937,"-16,46 %",84478,70684,"-16,33 %","28,32 %","28,54 %","0,22","7791,77","6166,13","-20,86 %","100,00","105,57","5,56 %"
ALVORADA,CD MATRIZ,,28560,,,3040,,,"0,41 %","0,41",,"2,00",,,"14280,00",
ALVORADA,COLUBANDE,1793824,1554752,"-13,33 %",199957,148717,"-25,63 %","8,68 %","13,81 %","5,12","8722,83","7731,72","-11,36 %","205,65","201,09","-2,22 %"
ALVORADA,COPACABANA,1235486,1101716,"-10,83 %",154898,138071,"-10,86 %","30,88 %","30,46 %","-0,42","17802,75","16050,57","-9,84 %","69,40","68,64","-1,09 %"
ALVORADA,IGUABA GRANDE,1271350,1310914,"3,11 %",143570,145689,"1,48 %","30,69 %","30,52 %","-0,17","12216,44","11288,93","-7,59 %","104,07","116,12","11,58 %"
ALVORADA,INOA,1490468,1540154,"3,33 %",167309,176090,"5,25 %","28,32 %","29,17 %","0,85","16831,77","15748,79","-6,43 %","88,55","97,80","10,44 %"
ALVORADA,ITABORAI - CENTRO ,693439,679557,"-2,00 %",92584,82479,"-10,91 %","27,57 %","28,75 %","1,18","8421,66","7375,24","-12,43 %","82,34","92,14","11,90 %"
ALVORADA,ITABORAI 1,998613,989970,"-0,87 %",130181,132704,"1,94 %","29,34 %","28,15 %","-1,20","15056,61","13431,98","-10,79 %","66,32","73,70","11,13 %"
ALVORADA,JARDIM CATARINA,392166,395892,"0,95 %",56944,57358,"0,73 %","29,01 %","27,17 %","-1,84","7155,28","6615,41","-7,55 %","54,81","59,84","9,19 %"
ALVORADA,JD ESPERANCA - ATACADO,2044470,1178304,"-42,37 %",126611,77520,"-38,77 %","-0,64 %","2,50 %","3,14","23,00","2,00","-91,30 %","88890,01","589152,00","562,79 %"
ALVORADA,MACAE,1134367,1038111,"-8,49 %",121756,110370,"-9,35 %","28,62 %","29,94 %","1,32","13907,75","12220,55","-12,13 %","81,56","84,95","4,15 %"
ALVORADA,MACAE 2 - GLÓRIA,1213677,851453,"-29,85 %",124131,85115,"-31,43 %","30,72 %","30,44 %","-0,28","6274,43","5353,25","-14,68 %","193,43","159,05","-17,77 %"
ALVORADA,MAGE 1,495451,418973,"-15,44 %",73441,63334,"-13,76 %","26,34 %","28,01 %","1,67","7524,85","6468,00","-14,04 %","65,84","64,78","-1,62 %"
ALVORADA,MAGE 2,1266042,1259949,"-0,48 %",173666,169949,"-2,14 %","26,50 %","28,10 %","1,61","10986,00","9960,86","-9,33 %","115,24","126,49","9,76 %"
ALVORADA,MARACANA,670931,702178,"4,66 %",88487,91174,"3,04 %","30,31 %","31,15 %","0,83","9127,00","8835,07","-3,20 %","73,51","79,48","8,12 %"
