NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
ALVORADA,AGUA MINERAL,923011,603939,"-34,57 %",121791,79891,"-34,40 %","28,53 %","28,43 %","-0,10","11223,17","7491,70","-33,25 %","82,24","80,61","-1,98 %"
ALVORADA,ALVORADA - MANGUEIRIN R.BONITO,672771,608117,"-9,61 %",92788,84128,"-9,33 %","29,21 %","29,23 %","0,02","8722,30","7336,92","-15,88 %","77,13","82,88","7,46 %"
ALVORADA,ARARUAMA 1,1066834,891135,"-16,47 %",139225,112791,"-18,99 %","29,63 %","29,70 %","0,07","11624,29","9084,25","-21,85 %","91,78","98,10","6,89 %"
ALVORADA,ARARUAMA 2,698057,590609,"-15,39 %",88390,74624,"-15,57 %","30,77 %","31,00 %","0,23","8621,96","7348,32","-14,77 %","80,96","80,37","-0,73 %"
ALVORADA,ARSENAL,893991,765916,"-14,33 %",112668,96834,"-14,05 %","30,20 %","30,60 %","0,40","10651,88","8656,83","-18,73 %","83,93","88,48","5,42 %"
ALVORADA,BACAXA - SAQUAREMA,1263782,965982,"-23,56 %",155233,119461,"-23,04 %","29,50 %","30,04 %","0,55","10598,45","8242,00","-22,23 %","119,24","117,20","-1,71 %"
ALVORADA,BOTAFOGO,970130,804502,"-17,07 %",121874,103058,"-15,44 %","31,39 %","30,98 %","-0,41","16972,98","13761,96","-18,92 %","57,16","58,46","2,28 %"
ALVORADA,BUZIOS,896629,671846,"-25,07 %",97761,71799,"-26,56 %","30,27 %","30,62 %","0,35","9353,36","7184,99","-23,18 %","95,86","93,51","-2,46 %"
ALVORADA,CABO FRIO 1 - SHOP P LAGOS ,591157,523105,"-11,51 %",65207,58642,"-10,07 %","30,75 %","30,78 %","0,04","8101,82","7331,98","-9,50 %","72,97","71,35","-2,22 %"
ALVORADA,CABO FRIO 2 - S.CRISTOVAO,1385645,1094140,"-21,04 %",152224,122523,"-19,51 %","29,52 %","29,19 %","-0,33","12618,57","10147,25","-19,58 %","109,81","107,83","-1,81 %"
ALVORADA,CABO FRIO 3 - JD ESPERANCA,1265797,1159988,"-8,36 %",152571,141849,"-7,03 %","27,48 %","27,73 %","0,25","14851,00","13780,00","-7,21 %","85,23","84,18","-1,24 %"
ALVORADA,CASIMIRO DE ABREU,894815,650937,"-27,25 %",96843,70684,"-27,01 %","28,66 %","28,54 %","-0,13","9023,05","6166,13","-31,66 %","99,17","105,57","6,45 %"
ALVORADA,CD MATRIZ,,28560,,,3040,,,"0,41 %","0,41",,"2,00",,,"14280,00",
ALVORADA,COLUBANDE,2128337,1554752,"-26,95 %",236506,148717,"-37,12 %","8,52 %","13,81 %","5,29","10131,83","7731,72","-23,69 %","210,06","201,09","-4,27 %"
ALVORADA,COPACABANA,1458926,1101716,"-24,48 %",182059,138071,"-24,16 %","31,11 %","30,46 %","-0,64","21004,95","16050,57","-23,59 %","69,46","68,64","-1,17 %"
ALVORADA,IGUABA GRANDE,1468812,1310914,"-10,75 %",164431,145689,"-11,40 %","30,97 %","30,52 %","-0,45","14078,35","11288,93","-19,81 %","104,33","116,12","11,30 %"
ALVORADA,INOA,1863909,1540154,"-17,37 %",208597,176090,"-15,58 %","28,81 %","29,17 %","0,36","19914,66","15748,79","-20,92 %","93,59","97,80","4,49 %"
ALVORADA,ITABORAI - CENTRO ,783302,679557,"-13,24 %",104139,82479,"-20,80 %","27,88 %","28,75 %","0,87","9673,66","7375,24","-23,76 %","80,97","92,14","13,79 %"
ALVORADA,ITABORAI 1,1173022,989970,"-15,61 %",151441,132704,"-12,37 %","29,60 %","28,15 %","-1,46","17664,61","13431,98","-23,96 %","66,41","73,70","10,99 %"
ALVORADA,JARDIM CATARINA,453156,395892,"-12,64 %",65664,57358,"-12,65 %","29,26 %","27,17 %","-2,09","8226,16","6615,41","-19,58 %","55,09","59,84","8,63 %"
ALVORADA,JD ESPERANCA - ATACADO,2044470,1178304,"-42,37 %",126611,77520,"-38,77 %","-0,64 %","2,50 %","3,14","23,00","2,00","-91,30 %","88890,01","589152,00","562,79 %"
ALVORADA,MACAE,1336341,1038111,"-22,32 %",142649,110370,"-22,63 %","28,94 %","29,94 %","1,00","16316,75","12220,55","-25,10 %","81,90","84,95","3,72 %"
ALVORADA,MACAE 2 - GLÓRIA,1375646,851453,"-38,11 %",140480,85115,"-39,41 %","31,12 %","30,44 %","-0,68","7266,43","5353,25","-26,33 %","189,32","159,05","-15,98 %"
ALVORADA,MAGE 1,575230,418973,"-27,16 %",84534,63334,"-25,08 %","26,55 %","28,01 %","1,47","8749,85","6468,00","-26,08 %","65,74","64,78","-1,47 %"
ALVORADA,MAGE 2,1461178,1259949,"-13,77 %",198912,169949,"-14,56 %","26,91 %","28,10 %","1,19","12675,94","9960,86","-21,42 %","115,27","126,49","9,73 %"
ALVORADA,MARACANA,766545,702178,"-8,40 %",100796,91174,"-9,55 %","30,59 %","31,15 %","0,56","10553,94","8835,07","-16,29 %","72,63","79,48","9,42 %"
ALVORADA,MARICÁ,597697,379346,"-36,53 %",66529,41501,"-37,62 %","27,46 %","28,94 %","1,48","7179,30","4913,10","-31,57 %","83,25","77,21","-7,26 %"
ALVORADA,MARICA - CORDEIRINHO,947446,869112,"-8,27 %",103948,94886,"-8,72 %","29,69 %","30,04 %","0,35","8608,89","8025,81","-6,77 %","110,05","108,29","-1,60 %"
ALVORADA,NOVA CIDADE,753259,568238,"-24,56 %",105035,80376,"-23,48 %","29,37 %","28,89 %","-0,48","13103,57","9453,98","-27,85 %","57,49","60,11","4,56 %"
ALVORADA,RIO BONITO 2,751737,666149,"-11,39 %",102842,92676,"-9,88 %","28,16 %","28,42 %","0,26","10358,15","8414,15","-18,77 %","72,57","79,17","9,09 %"
ALVORADA,RIO DO OURO,702973,567542,"-19,27 %",97625,77047,"-21,08 %","28,88 %","28,68 %","-0,20","10533,78","8444,70","-19,83 %","66,74","67,21","0,71 %"
ALVORADA,SAO PEDRO DA ALDEIA,1094748,756869,"-30,86 %",126963,89922,"-29,17 %","28,34 %","29,23 %","0,90","13606,82","9908,93","-27,18 %","80,46","76,38","-5,06 %"
ALVORADA,TAMOIOS UNAMAR,1603754,1311789,"-18,21 %",171878,140360,"-18,34 %","29,44 %","30,29 %","0,85","10454,18","9134,61","-12,62 %","153,41","143,61","-6,39 %"
ALVORADA,TANGUA,753077,595819,"-20,88 %",104993,67741,"-35,48 %","28,85 %","28,78 %","-0,07","11023,57","8406,44","-23,74 %","68,32","70,88","3,75 %"
ALVORADA,TRINDADE,624290,473031,"-24,23 %",89337,68398,"-23,44 %","27,66 %","28,67 %","1,01","10331,49","7882,00","-23,71 %","60,43","60,01","-0,68 %"
BARRA OESTE,BARRA OESTE - ABELARDO BUENO,1601744,1361711,"-14,99 %",183473,150273,"-18,10 %","30,20 %","31,87 %","1,67","15117,07","12648,83","-16,33 %","105,96","107,66","1,60 %"
BARRA OESTE,BARRA OESTE - AV. DAS AMERICAS,2308300,2032194,"-11,96 %",226478,194056,"-14,32 %","32,20 %","33,15 %","0,95","16672,21","13968,09","-16,22 %","138,45","145,49","5,08 %"
BARRA OESTE,BARRA OESTE - CAMPO GRANDE,1134458,1017708,"-10,29 %",154805,132527,"-14,39 %","28,83 %","30,55 %","1,73","14904,83","12453,23","-16,45 %","76,11","81,72","7,37 %"
BARRA OESTE,BARRA OESTE - CASCADURA,730668,995004,"36,18 %",97278,126824,"30,37 %","18,89 %","31,85 %","12,96","5453,64","14426,10","164,52 %","133,98","68,97","-48,52 %"
BARRA OESTE,BARRA OESTE - GARDENIA AZUL,1098109,941077,"-14,30 %",157987,126662,"-19,83 %","28,88 %","32,20 %","3,32","22166,50","17861,86","-19,42 %","49,54","52,69","6,35 %"
BARRA OESTE,BARRA OESTE - GUARATIBA,1142708,1123267,"-1,70 %",153019,148894,"-2,70 %","28,21 %","29,89 %","1,69","15141,69","12807,66","-15,41 %","75,47","87,70","16,21 %"
BARRA OESTE,BARRA OESTE - PEDRA GUARATIBA,2013789,1783843,"-11,42 %",268072,229333,"-14,45 %","28,52 %","30,62 %","2,10","19921,21","16682,72","-16,26 %","101,09","106,93","5,78 %"
BARRA OESTE,BARRA OESTE - RECREIO I,1679968,1482371,"-11,76 %",194309,163423,"-15,90 %","30,24 %","31,90 %","1,67","16178,10","13696,56","-15,34 %","103,84","108,23","4,23 %"
BARRA OESTE,BARRA OESTE - RECREIO II,977883,890319,"-8,95 %",141606,123049,"-13,10 %","29,15 %","30,09 %","0,95","17763,68","14736,73","-17,04 %","55,05","60,42","9,75 %"
BARRA OESTE,BARRA OESTE - RIACHUELO,1173877,1028781,"-12,36 %",153456,132980,"-13,34 %","28,84 %","30,83 %","1,99","22290,64","18752,50","-15,87 %","52,66","54,86","4,18 %"
BARRA OESTE,BARRA OESTE - TANQUE,1677929,1502982,"-10,43 %",223557,185623,"-16,97 %","29,86 %","31,96 %","2,10","24641,97","20240,03","-17,86 %","68,09","74,26","9,05 %"
BARRA OESTE,BARRA OESTE - VIA PARQUE,1065314,1000694,"-6,07 %",109487,95611,"-12,67 %","33,69 %","35,98 %","2,29","13039,80","11517,65","-11,67 %","81,70","86,88","6,35 %"
FENIX,FENIX - MERCADO MULTI PENHA,754231,819356,"8,63 %",134659,140405,"4,27 %","27,84 %","29,99 %","2,14","13792,43","14504,83","5,17 %","54,68","56,49","3,30 %"
