NomeAssociado,NomeLoja,Venda Anterior,Venda Atual,Var% Venda,Qtde Itens Anterior,Qtde Itens Atual,Var% Qtd,Mrkd Anterior,Mrkd Atual,Dif Mrkd p.p,Qtde Cupom Ant Frac,Qtde Cupom Atu Frac,Var% Qtde Cupom,Ticket Méd. Ant.,Ticket Méd. Atu,Var% Tkt Méd
ALVORADA,AGUA MINERAL,111889,112927,"0,93 %",14156,15974,"12,85 %","29,16 %","24,69 %","-4,47","1412,90","1293,91","-8,42 %","79,19","87,28","10,21 %"
ALVORADA,ALVORADA - MANGUEIRIN R.BONITO,92000,123416,"34,15 %",13979,16711,"19,54 %","26,74 %","27,00 %","0,25","1101,86","1329,58","20,67 %","83,49","92,82","11,17 %"
ALVORADA,ARARUAMA 1,133264,178434,"33,90 %",17247,23929,"38,75 %","29,42 %","24,60 %","-4,81","1602,00","1769,07","10,43 %","83,19","100,86","21,25 %"
ALVORADA,ARARUAMA 2,79244,115175,"45,34 %",9645,15537,"61,09 %","30,38 %","25,52 %","-4,86","1167,00","1383,65","18,56 %","67,90","83,24","22,58 %"
ALVORADA,ARSENAL,118432,132159,"11,59 %",14305,17937,"25,40 %","30,53 %","25,84 %","-4,69","1433,00","1518,98","6,00 %","82,65","87,01","5,27 %"
ALVORADA,BACAXA - SAQUAREMA,170990,207786,"21,52 %",19742,25379,"28,55 %","30,83 %","25,28 %","-5,55","1450,00","1518,00","4,69 %","117,92","136,88","16,08 %"
ALVORADA,BOTAFOGO,145041,155378,"7,13 %",17015,19885,"16,87 %","30,27 %","29,43 %","-0,84","2414,24","2552,42","5,72 %","60,08","60,87","1,33 %"
ALVORADA,BUZIOS,106265,134258,"26,34 %",10837,15543,"43,42 %","31,33 %","25,84 %","-5,49","1195,00","1312,85","9,86 %","88,92","102,26","15,00 %"
ALVORADA,CABO FRIO 1 - SHOP P LAGOS ,81014,101224,"24,95 %",8496,11555,"36,00 %","31,20 %","29,66 %","-1,54","1078,00","1368,99","26,99 %","75,15","73,94","-1,61 %"
ALVORADA,CABO FRIO 2 - S.CRISTOVAO,196659,233997,"18,99 %",20897,27022,"29,31 %","28,78 %","23,89 %","-4,89","1857,86","1949,00","4,91 %","105,85","120,06","13,42 %"
ALVORADA,CABO FRIO 3 - JD ESPERANCA,166031,230215,"38,66 %",19706,30546,"55,01 %","26,52 %","22,86 %","-3,66","2060,00","2436,00","18,25 %","80,60","94,51","17,26 %"
ALVORADA,CASIMIRO DE ABREU,130544,185139,"41,82 %",14174,21414,"51,08 %","27,87 %","23,06 %","-4,81","1273,10","1215,65","-4,51 %","102,54","152,30","48,52 %"
